athlete_id,age,gender,sport,vo2_max,hrv,lactate_threshold,resting_heart_rate,max_heart_rate,stride_length,cadence,force_application,power_output,endurance_score,efficiency_score,adaptability_score,skiing_potential
RUN_37,25,Female,Running,56.97,82.62,87.96,40,183,1.24,68,461.02,,59.63,86.29,53.81,0.61
RUN_38,18,Male,Running,67.01,103.03,63.24,48,191,1.07,69,259.03,,65.58,54.98,72.7,0.86
RUN_39,25,Male,Running,45.42,83.51,76.75,51,172,0.95,89,395.37,,90.79,68.73,66.65,0.14
RUN_40,22,Male,Running,69.89,101.56,62.91,46,186,0.94,77,585.55,,52.89,62.51,91.91,0.16
RUN_41,27,Female,Running,66.11,111.61,77.16,56,184,1.4,76,534.6,,82.41,99.63,52.45,0.36
RUN_42,19,Female,Running,70.04,112.34,84.45,49,170,1.49,65,489.35,,95.67,87.44,93.17,0.31
RUN_43,21,Female,Running,76.66,81.82,76.13,45,190,1.29,70,407.09,,72.4,52.39,85.18,0.99
RUN_44,19,Female,Running,50.13,110.15,86.16,46,180,1.47,83,357.71,,95.08,95.0,64.86,0.56
RUN_45,32,Female,Running,54.16,57.1,84.05,58,182,1.04,95,380.57,,95.34,96.4,59.89,0.52
RUN_46,27,Female,Running,79.85,57.13,68.3,53,199,1.24,92,505.84,,80.48,66.66,97.51,0.58
RUN_47,19,Female,Running,50.47,88.38,78.9,50,193,1.16,92,421.72,,72.79,82.1,77.7,0.88
RUN_48,23,Female,Running,70.22,95.63,60.22,41,172,1.14,77,505.86,,86.88,84.1,67.24,0.24
RUN_49,31,Female,Running,70.38,60.71,71.88,40,182,1.24,64,587.95,,95.81,86.48,52.22,0.51
RUN_50,22,Male,Running,68.9,83.05,67.14,49,187,1.02,90,456.21,,84.0,84.68,58.29,0.27
RUN_51,19,Female,Running,52.96,56.61,88.11,51,193,1.25,75,441.24,,60.48,77.99,79.91,0.78
RUN_52,31,Male,Running,52.53,92.15,72.16,48,178,1.27,61,362.46,,91.0,97.69,75.66,0.78
RUN_53,30,Male,Running,68.32,109.86,79.62,50,194,1.39,68,278.7,,97.58,75.62,87.88,0.96
RUN_54,19,Female,Running,51.52,101.63,81.96,40,171,1.31,61,349.68,,70.51,55.55,91.74,0.45
RUN_55,26,Female,Running,68.15,76.48,83.2,59,197,1.02,96,408.04,,84.88,54.02,69.86,0.16
RUN_56,20,Female,Running,62.24,119.57,82.07,49,177,1.12,79,213.94,,75.91,50.92,55.05,0.9
RUN_57,32,Female,Running,58.53,96.41,68.67,58,171,0.88,76,390.32,,55.6,71.4,89.58,0.89
RUN_58,20,Female,Running,55.51,107.07,80.58,50,192,0.98,84,544.86,,67.49,63.66,77.69,0.23
RUN_59,29,Female,Running,78.17,96.88,76.47,42,193,1.16,78,590.65,,58.19,94.76,98.99,0.28
RUN_60,23,Male,Running,62.78,119.26,77.92,55,170,0.87,67,542.22,,83.68,93.36,89.82,0.31
RUN_61,34,Male,Running,64.64,107.5,60.02,49,193,1.2,70,268.79,,79.1,91.89,66.45,0.45
RUN_62,23,Female,Running,78.22,86.36,67.75,41,172,1.07,72,262.01,,51.68,93.36,71.42,0.83
RUN_63,34,Male,Running,67.89,75.68,87.92,58,198,0.82,72,357.32,,53.08,64.88,61.78,0.14
RUN_64,33,Male,Running,78.52,97.75,68.7,43,186,1.1,68,290.17,,63.04,71.31,75.6,0.7
RUN_65,25,Male,Running,48.72,91.32,73.14,55,176,1.0,64,470.4,,87.24,65.59,85.54,0.35
RUN_66,25,Male,Running,74.63,94.05,65.6,45,179,0.85,77,233.82,,56.34,54.3,80.62,0.2
RUN_67,32,Male,Running,56.74,74.01,64.16,50,188,1.01,99,377.49,,60.24,96.2,67.1,0.34
RUN_68,25,Male,Running,73.37,80.01,66.26,56,193,1.01,73,312.14,,95.38,80.8,91.16,0.53
RUN_69,20,Female,Running,74.95,89.07,76.61,54,178,1.05,93,438.16,,77.31,56.63,55.25,0.92
RUN_70,33,Male,Running,54.5,108.75,87.57,43,187,1.06,81,518.83,,81.04,60.3,57.13,0.63
RUN_71,20,Male,Running,59.31,103.4,69.79,47,184,1.1,92,569.43,,72.79,72.54,70.21,0.61
RUN_72,18,Male,Running,70.41,58.31,69.7,57,186,0.86,83,585.54,,64.99,52.59,85.11,0.11
RUN_73,25,Male,Running,48.47,67.19,76.92,53,193,0.8,88,340.48,,62.46,63.6,84.71,0.08
RUN_74,26,Female,Running,71.44,51.87,70.7,41,195,1.32,72,542.34,,79.46,85.17,68.33,0.13
RUN_75,29,Male,Running,48.87,50.56,87.31,55,191,1.04,86,436.79,,73.55,96.02,84.83,0.1
RUN_76,34,Female,Running,77.01,65.71,71.34,54,195,1.23,60,476.9,,70.15,96.44,53.03,0.58
RUN_77,25,Male,Running,54.67,105.95,74.71,45,186,1.01,66,540.45,,84.72,76.0,64.5,0.45
RUN_78,28,Female,Running,65.15,113.33,76.0,48,188,1.49,63,252.05,,70.21,65.61,84.69,0.0
RUN_79,24,Male,Running,49.1,77.42,83.46,51,178,1.02,69,578.96,,51.84,96.04,59.2,0.35
RUN_80,31,Male,Running,54.43,89.42,76.92,49,194,1.22,99,418.96,,91.98,89.33,60.64,0.13
RUN_81,27,Male,Running,59.14,99.42,67.17,46,175,0.95,94,334.4,,65.92,79.36,54.34,0.99
RUN_82,32,Female,Running,62.05,116.71,63.72,44,188,1.16,98,335.49,,97.32,91.73,68.22,0.46
RUN_83,29,Female,Running,45.0,113.91,88.13,47,177,1.21,75,500.4,,93.98,72.94,91.25,0.43
RUN_84,34,Female,Running,76.1,54.0,84.05,51,175,0.93,86,471.46,,61.7,55.61,91.82,0.64
RUN_85,25,Female,Running,45.27,67.37,60.69,40,186,0.89,79,491.79,,98.27,96.91,93.12,0.36
RUN_86,31,Male,Running,72.08,53.44,84.65,49,175,1.48,69,301.2,,92.68,76.7,51.84,0.72
RUN_87,32,Male,Running,61.47,93.16,77.72,50,182,1.43,92,268.08,,99.25,84.76,99.67,0.9
RUN_88,28,Female,Running,63.34,99.73,75.57,59,190,1.26,66,488.74,,83.9,69.61,75.13,0.5
RUN_89,29,Male,Running,52.29,71.58,60.37,44,193,1.4,81,319.39,,96.54,56.79,93.64,0.38
RUN_90,33,Male,Running,66.26,109.77,83.43,52,198,0.87,76,288.97,,84.5,63.59,95.26,0.52
RUN_91,27,Male,Running,63.8,81.7,65.94,57,171,1.31,68,285.84,,92.75,52.18,75.72,0.6
RUN_92,18,Female,Running,50.75,119.89,81.84,49,181,1.0,99,259.36,,80.52,54.38,52.55,0.85
RUN_93,21,Female,Running,53.33,50.03,60.48,56,176,1.18,69,370.73,,96.46,60.25,79.87,0.39
RUN_94,24,Male,Running,47.34,57.66,83.89,58,175,1.34,95,304.38,,75.9,78.05,66.7,0.05
RUN_95,18,Female,Running,47.32,71.13,60.69,43,186,0.82,90,557.55,,86.83,99.64,60.34,0.63
RUN_96,25,Female,Running,45.48,51.79,67.08,48,197,1.29,90,475.66,,95.85,92.19,59.13,0.99
RUN_97,34,Female,Running,52.72,104.76,68.05,57,177,1.1,64,497.54,,71.12,54.29,77.96,0.85
RUN_98,25,Female,Running,68.79,53.69,64.73,55,175,1.11,77,361.44,,51.32,92.12,55.22,0.76
RUN_99,22,Male,Running,56.07,102.43,74.43,46,198,1.44,65,440.08,,55.65,76.82,91.08,0.18
RUN_100,18,Female,Running,57.0,53.68,68.51,51,188,1.4,87,400.32,,98.6,83.02,61.36,0.75
RUN_101,32,Female,Running,49.62,67.69,89.8,43,190,0.84,83,266.98,,93.66,56.49,77.46,0.08
RUN_102,21,Male,Running,65.14,108.89,77.4,51,192,1.23,64,219.14,,74.17,69.77,56.27,0.49
RUN_103,24,Female,Running,56.98,116.58,76.99,51,178,1.11,87,473.41,,98.04,94.21,92.98,0.37
RUN_104,31,Male,Running,68.67,79.02,66.63,43,189,0.88,62,248.47,,59.28,71.27,84.6,0.91
RUN_105,29,Male,Running,70.95,117.9,72.26,51,197,1.4,77,222.94,,55.55,56.36,60.33,0.16
RUN_106,20,Female,Running,65.46,93.88,63.72,47,199,0.85,63,376.75,,80.07,65.55,85.79,0.79
RUN_107,25,Male,Running,54.66,79.11,82.88,42,185,0.82,99,495.21,,69.11,61.08,54.15,0.05
RUN_108,19,Male,Running,62.8,106.2,69.93,55,187,0.94,91,507.55,,66.99,84.34,88.61,0.7
RUN_109,23,Female,Running,53.82,70.67,82.56,41,188,1.01,91,549.39,,86.71,95.55,74.52,0.29
RUN_110,24,Female,Running,76.6,68.61,71.15,45,176,0.84,78,279.69,,57.5,86.67,56.01,0.98
RUN_111,24,Female,Running,71.82,95.96,89.66,56,177,1.25,88,594.25,,88.92,92.18,77.52,0.67
RUN_112,30,Male,Running,62.26,77.33,65.13,51,190,1.11,92,505.28,,67.97,90.29,60.04,0.31
RUN_113,18,Male,Running,78.79,59.51,60.05,48,188,1.09,61,262.89,,99.34,50.73,83.64,0.24
RUN_114,25,Male,Running,64.14,54.69,77.84,55,170,0.9,70,536.29,,90.44,56.22,85.43,0.64
RUN_115,30,Male,Running,56.5,105.15,88.59,46,195,1.11,92,399.58,,82.31,71.17,88.04,0.27
RUN_116,34,Male,Running,48.34,97.31,79.41,47,182,1.07,99,226.62,,61.47,55.6,94.74,0.19
RUN_117,30,Male,Running,64.03,78.83,62.57,46,170,1.07,60,252.82,,97.82,86.75,82.75,0.65
RUN_118,33,Female,Running,75.11,112.74,76.21,44,180,0.95,76,373.56,,51.65,53.51,74.59,0.72
RUN_119,32,Male,Running,75.34,78.76,87.28,46,171,0.87,75,412.2,,61.17,70.81,92.71,0.24
RUN_120,28,Male,Running,66.16,99.72,60.2,57,190,0.98,61,579.0,,51.84,69.61,94.99,0.54
RUN_121,29,Female,Running,58.77,113.64,65.01,57,172,1.27,63,286.28,,98.33,77.17,89.09,0.66
RUN_122,20,Male,Running,67.76,108.85,84.44,55,182,0.85,91,389.64,,93.57,81.47,97.12,0.94
RUN_123,26,Male,Running,71.67,85.78,86.82,46,176,1.07,66,290.36,,97.61,97.35,98.97,0.8
RUN_124,31,Male,Running,59.41,97.64,81.21,41,171,1.16,88,423.36,,85.75,63.56,62.57,0.42
RUN_125,24,Female,Running,61.67,78.96,89.75,56,171,1.47,68,563.73,,51.37,83.3,59.18,0.84
RUN_126,28,Female,Running,68.82,95.3,62.71,47,172,1.39,94,427.1,,96.58,51.75,72.43,0.44
RUN_127,27,Female,Running,75.68,68.03,76.37,41,182,1.44,64,404.03,,71.05,50.05,99.85,0.13
RUN_128,20,Female,Running,72.69,80.43,80.55,57,181,1.37,80,500.05,,68.41,51.27,54.42,0.34
RUN_129,19,Male,Running,45.78,64.67,81.08,58,170,1.21,76,259.05,,64.21,72.45,85.6,0.8
RUN_130,34,Male,Running,49.35,52.67,83.8,59,187,1.4,98,562.25,,64.34,77.75,92.54,0.96
RUN_131,19,Female,Running,74.85,91.2,87.53,48,174,1.2,73,431.05,,90.03,50.31,99.82,0.98
RUN_132,33,Male,Running,74.18,110.51,70.85,51,188,1.05,91,474.52,,62.82,69.82,80.99,0.64
RUN_133,34,Male,Running,58.61,51.79,61.29,58,196,1.06,74,527.58,,61.11,52.04,69.0,0.48
RUN_134,27,Male,Running,65.45,63.72,70.87,47,179,1.2,80,454.02,,84.9,82.66,58.32,0.16
RUN_135,21,Female,Running,76.7,82.21,80.15,47,175,1.37,73,456.48,,64.37,81.56,99.09,0.1
RUN_136,28,Male,Running,76.9,96.61,66.4,49,187,0.89,75,491.85,,50.66,89.21,96.21,0.52
RUN_137,34,Female,Running,72.41,61.99,84.3,57,184,0.83,60,220.89,,96.59,77.31,90.23,0.73
RUN_138,29,Male,Running,52.34,53.97,66.59,54,183,1.35,99,352.88,,65.68,81.15,97.19,0.32
RUN_139,27,Male,Running,70.56,86.33,60.3,50,193,1.25,77,585.17,,88.22,63.97,53.04,0.67
RUN_140,33,Female,Running,48.54,107.31,75.24,53,185,1.37,93,303.17,,73.45,54.27,81.57,0.57
RUN_141,21,Female,Running,76.29,52.47,81.79,54,173,1.48,85,416.9,,56.7,86.87,63.74,0.94
RUN_142,20,Male,Running,50.22,74.46,70.49,53,188,0.98,95,270.17,,83.1,80.59,88.28,0.21
RUN_143,26,Female,Running,68.18,96.45,82.47,51,190,0.94,80,329.31,,61.58,96.92,54.79,0.59
RUN_144,23,Female,Running,66.36,59.15,73.15,43,199,1.04,60,486.83,,64.4,99.46,62.94,0.41
RUN_145,29,Male,Running,72.19,66.52,65.15,42,177,1.41,86,457.24,,51.62,92.36,92.51,0.26
RUN_146,18,Female,Running,64.31,87.48,62.72,51,194,0.81,70,365.73,,50.82,99.28,87.47,0.36
RUN_147,31,Female,Running,47.08,116.73,81.32,46,170,0.81,97,575.23,,75.68,82.37,99.6,0.29
RUN_148,27,Female,Running,69.7,70.11,71.57,46,189,0.95,73,510.02,,52.89,54.6,82.2,0.53
RUN_149,30,Female,Running,58.41,84.13,87.38,58,191,1.06,87,307.17,,60.47,54.49,65.15,0.56
RUN_150,26,Female,Running,56.21,78.0,76.21,53,191,1.01,86,386.18,,96.19,90.36,77.39,0.87
RUN_151,21,Female,Running,79.71,112.82,70.45,40,182,1.38,81,551.21,,54.14,61.84,97.2,0.78
RUN_152,20,Male,Running,65.66,55.03,70.47,46,178,1.28,80,208.99,,64.54,53.05,82.59,0.3
RUN_153,23,Female,Running,69.88,89.63,63.94,49,170,1.39,83,432.59,,86.33,73.61,94.07,0.93
RUN_154,26,Female,Running,63.42,109.23,77.81,57,184,1.07,78,292.78,,94.22,65.73,51.14,0.87
RUN_155,27,Male,Running,71.95,119.17,77.47,52,198,1.22,83,225.53,,52.31,79.41,68.48,0.63
RUN_156,26,Female,Running,71.32,98.91,84.0,47,184,1.16,85,565.14,,59.27,80.01,96.77,0.02
RUN_157,34,Female,Running,68.0,76.6,66.04,48,183,1.13,84,526.51,,69.39,84.08,51.96,0.21
RUN_158,27,Male,Running,79.92,78.83,68.72,54,174,1.0,88,274.12,,68.05,78.82,75.96,0.79
RUN_159,23,Male,Running,61.09,74.62,62.92,47,195,1.3,69,534.78,,64.43,69.05,67.33,0.45
RUN_160,33,Female,Running,69.72,92.25,68.86,40,186,1.17,70,258.57,,62.12,51.18,82.31,0.13
RUN_161,34,Female,Running,72.92,101.76,72.84,42,175,0.86,83,390.46,,63.43,95.25,58.11,0.41
RUN_162,28,Male,Running,58.16,107.36,88.92,58,178,0.8,83,490.31,,56.67,66.35,82.67,0.21
RUN_163,24,Female,Running,61.0,79.16,79.59,48,189,0.81,71,413.52,,58.17,75.36,99.59,0.89
RUN_164,21,Female,Running,78.92,100.17,83.49,58,195,0.85,66,540.31,,80.34,77.85,63.56,0.89
RUN_165,27,Male,Running,46.13,114.14,69.77,54,195,1.06,99,446.75,,64.61,65.74,73.07,0.39
RUN_166,31,Male,Running,56.74,114.46,64.34,53,194,1.01,76,372.78,,69.98,65.42,51.48,0.14
RUN_167,34,Male,Running,62.02,99.28,67.7,40,188,0.91,94,570.06,,70.6,63.04,71.7,0.36
RUN_168,31,Female,Running,45.05,94.58,67.69,42,196,1.16,65,214.52,,55.49,62.17,70.3,0.13
RUN_169,30,Male,Running,76.47,87.21,77.49,41,192,1.48,71,395.36,,90.97,51.52,78.24,0.3
RUN_170,19,Female,Running,55.02,62.82,70.24,40,190,0.91,74,464.31,,97.82,97.9,62.84,0.77
RUN_171,26,Male,Running,54.02,58.65,85.72,57,195,0.98,91,534.42,,63.18,79.76,66.43,0.29
RUN_172,20,Male,Running,73.71,84.0,89.66,40,186,1.12,82,416.46,,64.72,55.4,80.49,0.54
RUN_173,21,Female,Running,54.73,61.16,70.3,48,176,1.25,66,554.21,,84.66,79.6,95.42,0.12
RUN_174,29,Male,Running,68.02,90.39,81.15,46,177,1.22,97,370.51,,54.03,61.61,61.76,0.35
RUN_175,32,Female,Running,73.75,95.2,79.72,52,184,1.16,90,326.85,,95.37,65.53,83.87,0.04
RUN_176,25,Female,Running,72.74,86.79,65.83,56,175,1.32,88,589.52,,56.03,90.06,76.19,0.55
RUN_177,22,Female,Running,72.37,52.55,87.54,52,170,1.39,87,466.87,,86.6,94.29,55.23,0.35
RUN_178,19,Female,Running,48.1,54.04,65.98,52,178,1.5,71,370.31,,64.58,84.99,78.27,0.87
RUN_179,26,Female,Running,47.79,57.93,82.11,49,176,1.13,86,551.28,,66.16,96.63,85.44,0.39
RUN_180,31,Male,Running,55.74,60.76,70.43,45,199,1.5,63,473.23,,57.04,95.25,79.91,0.56
RUN_181,18,Male,Running,46.26,119.29,71.01,44,191,1.31,80,455.17,,82.32,77.56,55.22,0.98
RUN_182,21,Female,Running,62.52,74.11,73.66,49,189,1.26,68,491.42,,89.75,95.39,92.73,0.64
RUN_183,34,Female,Running,58.82,70.44,85.94,53,188,1.25,93,495.32,,97.51,77.25,52.05,0.5
RUN_184,27,Female,Running,64.5,53.66,64.21,50,173,1.44,96,397.19,,66.58,55.21,61.8,0.1
RUN_185,19,Female,Running,55.46,94.47,61.64,44,170,1.46,80,367.72,,81.06,91.47,80.79,0.82
RUN_186,23,Male,Running,62.0,95.65,72.06,43,178,0.92,82,563.71,,70.75,56.56,60.9,0.64
RUN_187,26,Male,Running,56.72,62.28,61.67,42,171,1.15,83,398.9,,77.89,65.8,55.09,0.11
RUN_188,26,Male,Running,51.83,114.35,80.63,53,185,1.46,69,286.33,,58.15,68.99,75.6,0.25
RUN_189,20,Male,Running,67.73,106.03,82.81,52,171,1.07,97,408.64,,79.09,90.36,86.12,0.54
RUN_190,23,Male,Running,68.57,66.12,85.64,44,172,0.96,65,213.77,,92.45,54.18,70.54,0.05
RUN_191,23,Male,Running,74.02,84.01,82.32,51,183,0.87,80,489.33,,93.18,72.25,84.92,0.72
RUN_192,34,Female,Running,75.62,82.09,87.49,49,182,1.22,96,250.79,,74.17,71.84,93.03,0.23
RUN_193,30,Male,Running,69.66,74.4,82.45,41,186,1.29,88,244.69,,61.79,79.11,97.94,0.49
RUN_194,30,Male,Running,69.06,107.23,88.08,46,179,0.94,99,578.54,,91.83,67.69,61.66,0.24
RUN_195,24,Female,Running,46.98,57.65,65.79,46,172,1.27,80,509.02,,99.97,78.86,80.27,0.49
RUN_196,26,Female,Running,48.84,79.07,75.0,43,173,1.43,81,365.69,,68.86,99.29,63.34,0.19
RUN_197,18,Female,Running,73.44,79.96,89.82,51,194,0.97,94,295.83,,96.22,53.58,93.55,0.59
RUN_198,30,Female,Running,53.15,82.81,80.45,43,174,0.89,64,537.4,,99.17,93.73,94.51,0.91
RUN_199,25,Female,Running,57.44,110.29,86.36,46,180,1.38,74,587.43,,69.78,65.43,66.11,0.81
RUN_200,26,Male,Running,50.09,65.27,60.91,59,175,1.44,78,403.34,,85.81,73.29,82.27,0.24
RUN_201,18,Female,Running,51.83,57.2,86.15,52,198,0.95,75,432.03,,79.05,87.06,94.38,0.5
RUN_202,26,Female,Running,72.14,93.25,80.93,47,170,1.3,99,297.22,,86.11,95.5,75.42,0.42
RUN_203,28,Female,Running,54.17,62.17,65.12,53,188,1.21,82,435.7,,57.71,50.45,86.02,0.97
RUN_204,21,Male,Running,60.72,55.25,60.77,42,199,0.97,63,360.24,,68.34,83.11,90.04,0.8
RUN_205,33,Female,Running,50.31,79.87,67.8,41,176,1.38,80,538.23,,53.14,53.48,93.59,0.11
RUN_206,31,Female,Running,68.73,65.38,87.47,49,192,1.13,83,350.85,,80.66,76.28,75.76,0.17
RUN_207,26,Male,Running,70.49,75.29,80.04,45,179,1.29,85,459.51,,96.33,87.49,97.09,0.7
RUN_208,18,Female,Running,57.66,68.18,87.58,46,198,1.01,61,281.39,,78.01,58.48,81.45,0.16
RUN_209,20,Male,Running,72.47,56.48,73.38,55,181,1.37,99,236.27,,53.52,88.19,57.59,0.95
RUN_210,18,Male,Running,53.4,89.22,88.1,45,181,0.99,67,216.14,,96.52,65.48,80.62,0.99
RUN_211,20,Female,Running,69.22,51.89,73.89,55,198,1.06,68,366.26,,56.65,80.53,64.92,0.78
RUN_212,31,Male,Running,70.55,117.65,66.13,51,170,1.07,61,265.41,,94.15,82.9,68.6,0.03
RUN_213,31,Female,Running,78.9,73.89,64.54,54,178,0.94,73,597.39,,85.71,82.45,90.44,0.48
RUN_214,30,Female,Running,53.13,98.66,89.81,42,186,1.41,79,519.35,,81.82,50.93,98.67,0.41
RUN_215,18,Female,Running,48.28,106.73,70.02,55,192,0.88,61,477.35,,79.34,57.61,93.49,0.8
RUN_216,32,Male,Running,54.21,69.54,64.8,57,181,1.19,63,521.33,,56.56,92.81,66.29,0.29
RUN_217,24,Male,Running,49.3,102.41,60.25,54,197,1.37,94,305.1,,75.04,96.99,72.68,0.39
RUN_218,33,Male,Running,50.94,108.27,68.57,45,171,1.21,73,551.71,,59.83,78.18,99.17,0.09
RUN_219,18,Male,Running,56.69,66.89,86.67,56,178,1.03,80,598.25,,78.59,79.85,96.18,0.34
RUN_220,32,Male,Running,59.49,119.47,76.02,41,181,1.35,74,315.94,,72.37,87.75,98.85,0.97
RUN_221,32,Female,Running,76.63,51.45,78.97,41,197,1.15,98,593.86,,83.98,70.31,71.65,0.94
RUN_222,23,Female,Running,51.85,65.19,87.67,56,194,0.91,79,328.16,,99.12,66.4,90.03,0.75
RUN_223,23,Female,Running,79.01,104.6,75.39,58,194,1.02,65,204.69,,68.05,88.41,93.56,0.91
RUN_224,18,Male,Running,73.36,63.59,85.15,44,173,1.21,87,346.89,,80.84,51.41,52.21,0.21
RUN_225,33,Male,Running,75.85,98.88,69.71,43,191,1.26,61,599.01,,93.22,94.27,63.3,0.62
RUN_226,30,Male,Running,77.53,109.89,89.31,57,198,1.18,87,454.06,,54.65,72.05,94.17,0.5
RUN_227,29,Female,Running,71.36,117.14,62.36,47,181,0.99,93,478.19,,90.01,75.21,69.44,0.42
RUN_228,27,Female,Running,72.61,83.2,81.74,48,187,1.22,73,295.34,,61.97,81.71,63.93,0.32
RUN_229,31,Male,Running,60.32,117.98,79.82,57,172,1.03,68,258.37,,77.01,63.72,63.63,0.87
RUN_230,28,Female,Running,62.87,78.81,65.75,50,191,0.96,82,554.2,,99.58,79.87,68.77,0.48
RUN_231,29,Male,Running,77.64,65.27,71.67,55,170,1.46,94,365.36,,99.2,84.65,62.2,0.72
RUN_232,34,Female,Running,58.24,85.97,69.38,55,192,1.02,81,201.64,,65.79,55.9,50.17,0.71
RUN_233,20,Male,Running,46.47,95.49,62.83,43,187,1.03,64,317.7,,56.59,76.02,58.63,0.14
RUN_234,18,Male,Running,71.7,82.06,77.54,48,193,1.43,88,278.29,,96.91,66.47,94.13,0.05
RUN_235,18,Female,Running,65.06,89.69,89.81,52,190,0.9,94,441.51,,94.68,77.87,53.78,0.84
RUN_236,23,Female,Running,73.52,79.15,76.79,59,192,1.21,93,502.45,,80.8,51.06,70.65,0.49
RUN_237,21,Male,Running,47.64,86.73,76.36,47,177,1.35,63,399.0,,51.62,87.13,72.82,0.81
RUN_238,30,Female,Running,66.74,116.68,61.21,50,188,0.99,68,274.36,,87.56,58.42,88.91,0.3
RUN_239,29,Female,Running,53.67,84.99,64.18,48,191,1.39,73,223.19,,58.04,84.47,62.63,0.86
RUN_240,25,Female,Running,76.61,67.72,75.4,57,197,1.34,64,325.41,,97.15,88.44,65.48,0.83
RUN_241,24,Male,Running,48.85,103.11,89.56,59,194,1.14,86,522.39,,71.76,87.63,50.71,0.38
RUN_242,24,Female,Running,74.51,73.63,86.3,42,173,0.88,70,367.81,,80.76,90.88,95.14,0.41
